Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE,Train_R2,Test_R2,Train_Time_s,CV_R2_Mean,CV_R2_Std
Ridge Regression,0.030434,0.030367,0.023774,0.025864,5.33347,0.9293,0.941635,0.04162,0.920582,0.015494
LightGBM,0.013072,0.033858,0.009917,0.027689,5.446915,0.986957,0.927448,0.116505,0.921658,0.007994
XGBoost,0.005072,0.034421,0.003886,0.028177,5.57763,0.998037,0.925014,0.558047,0.919032,0.006036
Gradient Boosting,0.00352,0.034981,0.002809,0.028413,5.574454,0.999054,0.922555,0.913949,0.909824,0.008897
Random Forest,0.015916,0.036511,0.011998,0.029818,5.824987,0.980664,0.91563,0.385246,0.912889,0.006213
SVR,0.013033,0.037286,0.010587,0.030371,5.958294,0.987036,0.912011,0.040096,0.908016,0.011371
